Instance,OptCost,Duration,Solution
Zhu_Wilhelm_DIMACS.n100e959c15.rcsp4_71.txt,2,0.00372,0 16 37 51 61 79 99 
Zhu_Wilhelm_DIMACS.n100e959c15.rcsp4_72.txt,1,0.00821,0 14 39 50 66 72 77 99 
Zhu_Wilhelm_DIMACS.n100e959c15.rcsp4_73.txt,3,0.00680,0 18 21 41 63 64 87 96 99 
Zhu_Wilhelm_DIMACS.n100e959c15.rcsp4_74.txt,2,0.00327,0 4 22 27 50 51 64 82 94 99 
Zhu_Wilhelm_DIMACS.n100e959c15.rcsp4_75.txt,1,0.00393,0 16 31 41 62 63 80 88 99 
Zhu_Wilhelm_DIMACS.n100e959c15.rcsp4_76.txt,3,0.00396,0 18 23 42 66 90 99 
Zhu_Wilhelm_DIMACS.n100e959c15.rcsp4_77.txt,1,0.00430,0 14 38 60 85 94 99 
Zhu_Wilhelm_DIMACS.n100e959c15.rcsp4_78.txt,2,0.00337,0 4 6 13 36 53 78 88 99 
Zhu_Wilhelm_DIMACS.n100e959c15.rcsp4_79.txt,3,0.00441,0 18 21 24 49 69 79 99 
Zhu_Wilhelm_DIMACS.n100e959c15.rcsp4_8.txt,3,0.00579,0 16 37 60 85 92 99 
Zhu_Wilhelm_DIMACS.n100e959c15.rcsp4_80.txt,2,0.00492,0 18 21 24 46 59 64 89 99 
Zhu_Wilhelm_DIMACS.n100e959c15.rcsp4_81.txt,2,0.00262,0 16 26 28 35 59 73 88 99 
Zhu_Wilhelm_DIMACS.n100e959c15.rcsp4_82.txt,3,0.00560,0 1 10 13 14 38 60 78 88 99 
Zhu_Wilhelm_DIMACS.n100e959c15.rcsp4_83.txt,1,0.00487,0 4 15 22 47 69 80 81 99 
Zhu_Wilhelm_DIMACS.n100e959c15.rcsp4_84.txt,1,0.00887,0 18 40 62 72 83 99 
Zhu_Wilhelm_DIMACS.n100e959c15.rcsp4_85.txt,3,0.00589,0 4 27 47 66 68 80 86 99 
Zhu_Wilhelm_DIMACS.n100e959c15.rcsp4_86.txt,0,0.00785,0 14 32 39 54 79 99 
Zhu_Wilhelm_DIMACS.n100e959c15.rcsp4_87.txt,1,0.00387,0 4 19 31 53 77 79 99 
Zhu_Wilhelm_DIMACS.n100e959c15.rcsp4_88.txt,4,0.01305,0 4 19 40 60 77 99 
Zhu_Wilhelm_DIMACS.n100e959c15.rcsp4_89.txt,2,0.01631,0 18 27 50 58 83 99 
