Instance,OptCost,Duration,Solution
Zhu_Wilhelm_DIMACS.n100e959c15.rcsp4_80.txt,2,0.00684,0 18 21 24 46 59 64 89 99 
Zhu_Wilhelm_DIMACS.n100e959c15.rcsp4_81.txt,2,0.00186,0 16 26 28 35 59 73 88 99 
Zhu_Wilhelm_DIMACS.n100e959c15.rcsp4_82.txt,3,0.00227,0 1 10 13 14 38 60 78 88 99 
Zhu_Wilhelm_DIMACS.n100e959c15.rcsp4_83.txt,1,0.00348,0 4 15 22 47 69 80 81 99 
Zhu_Wilhelm_DIMACS.n100e959c15.rcsp4_84.txt,1,0.00553,0 18 40 48 51 53 77 79 99 
Zhu_Wilhelm_DIMACS.n100e959c15.rcsp4_85.txt,3,0.00266,0 4 27 47 66 68 80 86 99 
Zhu_Wilhelm_DIMACS.n100e959c15.rcsp4_86.txt,0,0.00493,0 14 32 39 54 79 99 
Zhu_Wilhelm_DIMACS.n100e959c15.rcsp4_87.txt,1,0.00171,0 4 19 31 53 77 79 99 
Zhu_Wilhelm_DIMACS.n100e959c15.rcsp4_88.txt,4,0.00231,0 4 19 40 60 77 99 
Zhu_Wilhelm_DIMACS.n100e959c15.rcsp4_89.txt,2,0.00512,0 18 27 50 58 83 99 
Zhu_Wilhelm_DIMACS.n100e959c15.rcsp4_9.txt,4,0.00296,0 14 27 34 54 79 99 
Zhu_Wilhelm_DIMACS.n100e959c15.rcsp4_90.txt,5,0.00444,0 14 38 58 82 99 
Zhu_Wilhelm_DIMACS.n100e959c15.rcsp4_91.txt,3,0.00410,0 1 25 38 60 84 86 99 
Zhu_Wilhelm_DIMACS.n100e959c15.rcsp4_92.txt,2,0.00245,0 18 28 34 54 64 82 94 99 
Zhu_Wilhelm_DIMACS.n100e959c15.rcsp4_93.txt,3,0.00577,0 16 29 48 59 70 90 96 99 
Zhu_Wilhelm_DIMACS.n100e959c15.rcsp4_94.txt,2,0.00220,0 14 38 48 63 80 88 99 
Zhu_Wilhelm_DIMACS.n100e959c15.rcsp4_95.txt,6,0.00695,0 4 28 35 56 67 90 99 
Zhu_Wilhelm_DIMACS.n100e959c15.rcsp4_96.txt,1,0.00393,0 4 25 38 50 66 72 77 99 
Zhu_Wilhelm_DIMACS.n100e959c15.rcsp4_97.txt,2,0.00253,0 4 22 32 39 54 79 99 
Zhu_Wilhelm_DIMACS.n100e959c15.rcsp4_98.txt,2,0.00346,0 18 27 36 60 76 86 99 
Zhu_Wilhelm_DIMACS.n100e959c15.rcsp4_99.txt,3,0.00327,0 18 23 42 66 82 99 
Zhu_Wilhelm_DIMACS.n100e959c17.rcsp3_0.txt,2,0.00531,0 18 27 50 75 87 97 99 
Zhu_Wilhelm_DIMACS.n100e959c17.rcsp3_1.txt,2,0.00517,0 1 11 29 48 68 80 86 99 
Zhu_Wilhelm_DIMACS.n100e959c17.rcsp3_10.txt,3,0.00424,0 14 27 41 65 66 80 88 99 
Zhu_Wilhelm_DIMACS.n100e959c17.rcsp3_11.txt,0,0.00306,0 1 16 29 42 45 66 88 99 
Zhu_Wilhelm_DIMACS.n100e959c17.rcsp3_12.txt,0,0.00353,0 4 15 29 42 49 61 86 99 
Zhu_Wilhelm_DIMACS.n100e959c17.rcsp3_13.txt,2,0.00314,0 4 6 17 29 54 79 99 
Zhu_Wilhelm_DIMACS.n100e959c17.rcsp3_14.txt,2,0.00428,0 18 29 42 45 58 70 84 99 
Zhu_Wilhelm_DIMACS.n100e959c17.rcsp3_15.txt,1,0.00252,0 4 19 40 65 77 79 99 
Zhu_Wilhelm_DIMACS.n100e959c17.rcsp3_16.txt,2,0.00290,0 4 10 24 46 69 94 99 
Zhu_Wilhelm_DIMACS.n100e959c17.rcsp3_17.txt,1,0.00755,0 18 23 33 47 66 84 95 96 99 
Zhu_Wilhelm_DIMACS.n100e959c17.rcsp3_18.txt,1,0.00349,0 4 27 47 66 80 88 99 
Zhu_Wilhelm_DIMACS.n100e959c17.rcsp3_19.txt,1,0.00219,0 1 10 19 31 41 52 59 73 88 99 
Zhu_Wilhelm_DIMACS.n100e959c17.rcsp3_2.txt,0,0.00384,0 1 10 13 38 63 65 90 97 99 
Zhu_Wilhelm_DIMACS.n100e959c17.rcsp3_20.txt,2,0.00369,0 16 37 47 52 61 75 83 97 99 
Zhu_Wilhelm_DIMACS.n100e959c17.rcsp3_21.txt,1,0.00258,0 4 28 45 56 79 99 
Zhu_Wilhelm_DIMACS.n100e959c17.rcsp3_22.txt,1,0.00294,0 4 15 29 48 61 86 99 
Zhu_Wilhelm_DIMACS.n100e959c17.rcsp3_23.txt,0,0.00178,0 1 25 32 39 56 79 99 
Zhu_Wilhelm_DIMACS.n100e959c17.rcsp3_24.txt,1,0.00323,0 16 32 54 77 99 
Zhu_Wilhelm_DIMACS.n100e959c17.rcsp3_25.txt,1,0.00407,0 1 9 19 44 63 64 87 96 99 
Zhu_Wilhelm_DIMACS.n100e959c17.rcsp3_26.txt,3,0.00615,0 4 20 39 54 79 99 
Zhu_Wilhelm_DIMACS.n100e959c17.rcsp3_27.txt,0,0.00506,0 18 43 52 61 75 83 99 
Zhu_Wilhelm_DIMACS.n100e959c17.rcsp3_28.txt,2,0.00462,0 4 19 44 60 77 99 
Zhu_Wilhelm_DIMACS.n100e959c17.rcsp3_29.txt,4,0.00413,0 4 22 47 69 84 86 99 
Zhu_Wilhelm_DIMACS.n100e959c17.rcsp3_3.txt,2,0.00369,0 16 37 56 63 86 99 
Zhu_Wilhelm_DIMACS.n100e959c17.rcsp3_30.txt,1,0.00244,0 16 24 46 59 65 74 78 83 97 99 
Zhu_Wilhelm_DIMACS.n100e959c17.rcsp3_31.txt,2,0.00272,0 14 38 60 84 99 
Zhu_Wilhelm_DIMACS.n100e959c17.rcsp3_32.txt,2,0.00432,0 1 11 29 41 54 79 99 
Zhu_Wilhelm_DIMACS.n100e959c17.rcsp3_33.txt,1,0.00487,0 4 26 29 42 47 48 51 64 77 99 
