Instance,OptCost,Duration,Solution
Zhu_Wilhelm_DIMACS.n100e959c15.rcsp4_86.txt,0,0.00577,0 14 32 39 54 79 99 
Zhu_Wilhelm_DIMACS.n100e959c15.rcsp4_87.txt,1,0.00244,0 4 19 31 53 77 79 99 
Zhu_Wilhelm_DIMACS.n100e959c15.rcsp4_88.txt,4,0.00618,0 4 19 40 60 77 99 
Zhu_Wilhelm_DIMACS.n100e959c15.rcsp4_89.txt,2,0.00898,0 18 27 50 58 83 99 
Zhu_Wilhelm_DIMACS.n100e959c15.rcsp4_9.txt,4,0.00298,0 14 27 34 54 79 99 
Zhu_Wilhelm_DIMACS.n100e959c15.rcsp4_90.txt,5,0.00843,0 14 38 58 82 99 
Zhu_Wilhelm_DIMACS.n100e959c15.rcsp4_91.txt,3,0.00611,0 1 25 38 60 84 86 99 
Zhu_Wilhelm_DIMACS.n100e959c15.rcsp4_92.txt,2,0.00334,0 18 28 34 54 64 82 94 99 
Zhu_Wilhelm_DIMACS.n100e959c15.rcsp4_93.txt,3,0.00892,0 16 29 52 56 66 84 96 99 
Zhu_Wilhelm_DIMACS.n100e959c15.rcsp4_94.txt,2,0.00590,0 14 38 48 63 80 88 99 
Zhu_Wilhelm_DIMACS.n100e959c15.rcsp4_95.txt,6,0.01452,0 4 28 35 56 67 90 99 
Zhu_Wilhelm_DIMACS.n100e959c15.rcsp4_96.txt,1,0.00619,0 4 25 38 50 66 72 77 99 
Zhu_Wilhelm_DIMACS.n100e959c15.rcsp4_97.txt,2,0.00596,0 4 22 32 39 54 79 99 
Zhu_Wilhelm_DIMACS.n100e959c15.rcsp4_98.txt,2,0.00637,0 18 27 36 60 76 86 99 
Zhu_Wilhelm_DIMACS.n100e959c15.rcsp4_99.txt,4,0.00581,0 1 4 19 29 42 63 64 89 99 
Zhu_Wilhelm_DIMACS.n100e959c17.rcsp3_0.txt,2,0.00915,0 18 27 50 75 87 97 99 
Zhu_Wilhelm_DIMACS.n100e959c17.rcsp3_1.txt,2,0.00757,0 1 11 29 48 68 80 86 99 
Zhu_Wilhelm_DIMACS.n100e959c17.rcsp3_10.txt,3,0.00998,0 14 27 50 61 65 66 80 88 99 
Zhu_Wilhelm_DIMACS.n100e959c17.rcsp3_11.txt,0,0.00891,0 1 16 29 42 45 66 88 99 
Zhu_Wilhelm_DIMACS.n100e959c17.rcsp3_12.txt,0,0.00320,0 4 15 29 42 49 61 86 99 
Zhu_Wilhelm_DIMACS.n100e959c17.rcsp3_13.txt,2,0.00372,0 4 6 17 29 54 79 99 
Zhu_Wilhelm_DIMACS.n100e959c17.rcsp3_14.txt,2,0.00863,0 18 29 42 45 66 84 99 
Zhu_Wilhelm_DIMACS.n100e959c17.rcsp3_15.txt,1,0.00518,0 4 19 40 65 77 79 99 
Zhu_Wilhelm_DIMACS.n100e959c17.rcsp3_16.txt,2,0.00514,0 4 10 24 46 69 94 99 
Zhu_Wilhelm_DIMACS.n100e959c17.rcsp3_17.txt,1,0.00550,0 18 23 33 47 66 84 95 96 99 
Zhu_Wilhelm_DIMACS.n100e959c17.rcsp3_18.txt,1,0.00450,0 4 27 47 66 80 88 99 
Zhu_Wilhelm_DIMACS.n100e959c17.rcsp3_19.txt,1,0.00512,0 1 10 19 31 41 52 59 73 88 99 
Zhu_Wilhelm_DIMACS.n100e959c17.rcsp3_2.txt,0,0.00682,0 1 10 13 38 63 65 90 97 99 
Zhu_Wilhelm_DIMACS.n100e959c17.rcsp3_20.txt,2,0.00439,0 16 37 47 52 61 75 83 97 99 
Zhu_Wilhelm_DIMACS.n100e959c17.rcsp3_21.txt,1,0.00670,0 4 28 45 56 79 99 
Zhu_Wilhelm_DIMACS.n100e959c17.rcsp3_22.txt,1,0.00387,0 4 15 29 48 61 86 99 
Zhu_Wilhelm_DIMACS.n100e959c17.rcsp3_23.txt,0,0.00253,0 1 25 32 39 56 79 99 
Zhu_Wilhelm_DIMACS.n100e959c17.rcsp3_24.txt,1,0.00484,0 16 32 54 77 99 
Zhu_Wilhelm_DIMACS.n100e959c17.rcsp3_25.txt,1,0.00771,0 1 9 19 44 63 64 87 96 99 
Zhu_Wilhelm_DIMACS.n100e959c17.rcsp3_26.txt,3,0.01969,0 4 20 39 54 79 99 
Zhu_Wilhelm_DIMACS.n100e959c17.rcsp3_27.txt,0,0.01374,0 18 43 52 61 75 83 99 
Zhu_Wilhelm_DIMACS.n100e959c17.rcsp3_28.txt,2,0.01191,0 4 19 44 60 77 99 
Zhu_Wilhelm_DIMACS.n100e959c17.rcsp3_29.txt,4,0.00654,0 4 22 47 69 84 86 99 
Zhu_Wilhelm_DIMACS.n100e959c17.rcsp3_3.txt,2,0.02110,0 16 37 56 63 86 99 
Zhu_Wilhelm_DIMACS.n100e959c17.rcsp3_30.txt,1,0.00954,0 16 24 46 59 65 74 78 83 97 99 
Zhu_Wilhelm_DIMACS.n100e959c17.rcsp3_31.txt,2,0.00938,0 14 38 60 84 99 
Zhu_Wilhelm_DIMACS.n100e959c17.rcsp3_32.txt,2,0.00979,0 1 11 29 48 54 79 99 
Zhu_Wilhelm_DIMACS.n100e959c17.rcsp3_33.txt,1,0.00547,0 4 26 29 42 47 48 51 64 77 99 
Zhu_Wilhelm_DIMACS.n100e959c17.rcsp3_34.txt,0,0.00331,0 1 13 33 41 54 70 86 99 
Zhu_Wilhelm_DIMACS.n100e959c17.rcsp3_35.txt,1,0.00597,0 18 27 36 43 52 56 79 96 99 
Zhu_Wilhelm_DIMACS.n100e959c17.rcsp3_36.txt,2,0.00451,0 16 29 37 41 65 77 79 99 
Zhu_Wilhelm_DIMACS.n100e959c17.rcsp3_37.txt,1,0.00442,0 1 9 23 35 36 54 79 99 
Zhu_Wilhelm_DIMACS.n100e959c17.rcsp3_38.txt,3,0.00657,0 1 26 35 47 69 94 99 
Zhu_Wilhelm_DIMACS.n100e959c17.rcsp3_39.txt,1,0.01295,0 14 38 60 63 64 79 94 99 
Zhu_Wilhelm_DIMACS.n100e959c17.rcsp3_4.txt,2,0.00668,0 18 21 33 58 82 94 99 
Zhu_Wilhelm_DIMACS.n100e959c17.rcsp3_40.txt,1,0.01108,0 4 22 45 69 79 99 
Zhu_Wilhelm_DIMACS.n100e959c17.rcsp3_41.txt,2,0.01095,0 18 30 47 69 84 99 
Zhu_Wilhelm_DIMACS.n100e959c17.rcsp3_42.txt,1,0.00733,0 1 9 19 44 45 58 82 99 
Zhu_Wilhelm_DIMACS.n100e959c17.rcsp3_43.txt,1,0.00275,0 1 4 15 38 39 62 73 83 97 99 
Zhu_Wilhelm_DIMACS.n100e959c17.rcsp3_44.txt,1,0.00545,0 1 16 37 47 65 84 99 
